Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,1514.35,-1.11,1150438.17,211.49,3213.96
IDEA,EQ,12.9,0,64654.57,16820.4,2105.91
JIOFIN,EQ,383,3.49,243330.78,486.41,1855.21
RELIANCE,EQ,2962.9,0.77,2004606.66,51.75,1527.13
HINDCOPPER,EQ,380.7,4.56,36814.6,387.08,1484.81
SBIN,EQ,768.15,2.36,685544.07,174.52,1327.61
PERSISTENT,EQ,3510,-9.65,54071.55,37.03,1327.41
NTPC,EQ,344.25,-1.8,333807.73,373.83,1292.7
VOLTAS,EQ,1379.5,6.07,45645.55,89.39,1224.04
ADANIPORTS,EQ,1323.25,1.01,285840.39,89.03,1175.69
ICICIBANK,EQ,1087.45,1.89,763775.32,103.47,1118.58
KOTAKBANK,EQ,1811,1.02,360012.47,61.51,1112.7
IREDA,EQ,170.95,6.38,45947.34,629.35,1087.9
EXIDEIND,EQ,470,5.78,39950,222.47,1027.41
BHARTIARTL,EQ,1302.95,1.08,738623.09,78.95,1022.22
AXISBANK,EQ,1054.8,2.5,325605.49,94.11,988.99
GSPL,EQ,305.45,-19.12,17233.84,310.46,948.29
LT,EQ,3620,2.89,497630.04,26.06,934.74
BAJFINANCE,EQ,7300,2.54,451841.76,11.65,845.94
INFY,EQ,1434.5,1.65,595441.94,58.59,833.86
YESBANK,EQ,25.25,5.43,72638.9,3258.41,805.8
SWSOLAR,EQ,617.65,10,14403.74,130.38,757.75
VEDL,EQ,381.5,-1.15,141811.42,196.26,749.71
GAIL,EQ,199.15,-1.39,130943.11,360.03,716.34
NATIONALUM,EQ,185.9,0.6,34142.98,373.47,701.34
TATAMOTORS,EQ,974.7,1.19,323964.84,71.88,698.56
TCS,EQ,3875.9,1.3,1402334.54,17.29,664.16
INDUSTOWER,EQ,349.05,-0.67,94066.77,188.32,656.33
TATASTEEL,EQ,162.1,0,202357.98,393.05,639.41
CANBK,EQ,599.95,3.66,108838.74,104.89,626.33
ITI,EQ,280,12.81,26904.83,223.82,620.66
ZOMATO,EQ,193.4,2.22,170574.62,287.92,557.76
HINDPETRO,EQ,492,2.84,69792.58,107.77,534.14
BPCL,EQ,604,3.11,131020.67,87.63,529.14
TATAPOWER,EQ,427.9,-0.05,136728.58,121.27,521.16
M&M,EQ,2093,0.48,260270.58,24.49,511.13
HAL,EQ,3785,0.9,253131.34,13.38,504.79
TRENT,EQ,4175,0.39,148416.01,11.79,495.78
PNB,EQ,133.8,4.33,147327.39,375.68,494.32
INDIGO,EQ,3715,4.35,143391.08,12.75,469.99
TEJASNET,EQ,917,18.24,15653.93,52.48,457.89
MOTHERSON,EQ,127.5,0.35,86394.14,356.36,449.76
MARUTI,EQ,12798.95,0.69,402402.28,3.42,437.41
WIPRO,EQ,461.95,2.03,241377.31,94.41,435.65
ARE&M,EQ,1040.8,3.54,19049.28,41.8,431.34
INDUSINDBK,EQ,1480.95,-0.07,115265.29,28.87,427.96
MCX,EQ,3902,2.9,19899.56,10.88,425.51
POWERGRID,EQ,284,0.83,264137.15,149.65,424.2
BEL,EQ,233.7,0.17,170829.53,175.49,409.67
UNIONBANK,EQ,150.75,7.14,115076.6,277.46,409.05
HINDUNILVR,EQ,2245.95,0.64,527706.45,18.04,404.25
SAIL,EQ,149.25,2.19,61648.09,270.95,403.56
MCDOWELL-N,EQ,1160.8,3.36,84430.89,35.3,402.24
HINDALCO,EQ,617.85,0.5,138844.27,65.04,402.18
ASTERDM,EQ,514.7,-1.13,25709.94,75.58,394.4
JUSTDIAL,EQ,1090,2.26,9269.12,36.37,393.8
ONGC,EQ,277.3,0.74,348851.14,141.84,390.81
DIXON,EQ,7831.9,3.98,46851.67,4.74,366.69
FORCEMOT,EQ,9828,5.52,12808.75,3.65,358.06
CDSL,EQ,2011,3.64,21014.95,17.68,351.79
EICHERMOT,EQ,4468,2.85,122336.36,7.81,348.01
BHARTIHEXA,EQ,918,-3.08,45900,36.78,347.46
IRFC,EQ,144.2,2.27,188447.86,236.09,339.71
IOC,EQ,171.1,2.67,241614.39,190.23,325.52
BHEL,EQ,260.95,2.51,90864.44,123.39,317.44
LICHSGFIN,EQ,661.55,2.89,36389.42,46.58,307.49
TATACOMM,EQ,1728,-1.55,49248,17.74,307.1
NESTLEIND,EQ,2460,0.91,237182.66,12.52,307.03
ADANIENT,EQ,3072.25,1.5,350236.84,9.94,303.17
ITC,EQ,425.8,0.25,531650.39,71.12,302.08
PFC,EQ,404.95,1.58,133637.62,74.57,301.68
TVSSCS,EQ,179,-0.89,7879.59,160.47,298.94
SOLARA,EQ,578.8,4.9,2083.46,49.92,293.39
TRIVENI,EQ,359.95,10.77,7879.23,82.22,290.95
NHPC,EQ,88.6,1.66,88999.01,326.91,290.55
WABAG,EQ,1012.35,11.27,6295.85,29.6,289.52
BAJAJ-AUTO,EQ,8800,-0.05,245678.19,3.24,285.12
SIEMENS,EQ,5773,3.28,205588.22,4.93,284.6
HCLTECH,EQ,1472,1.69,399451.5,19.4,284.06
OFSS,EQ,7525.8,-1.01,65231.88,3.78,282.99
COALINDIA,EQ,444,2,273625.14,63.97,282.86
HDFCAMC,EQ,3640,-1.85,77708.18,7.67,281.1
IDFCFIRSTB,EQ,83.25,1.71,58857.12,334.26,277.73
JSWENERGY,EQ,610.6,-2.57,106718.74,43.22,269.72
RECLTD,EQ,435,2.17,114545.24,62.26,269.17
TATACONSUM,EQ,1175.5,3.29,111954.38,22.99,268.04
AUBANK,EQ,608.5,-1.01,45192.55,43.64,266.04
ULTRACEMCO,EQ,9569.45,2.19,276267.45,2.78,265.22
HEROMOTOCO,EQ,4320,2.52,86366.19,6.2,264.48
SUNPHARMA,EQ,1547,1.59,371168.05,16.8,257.59
MAZDOCK,EQ,2169.85,-0.88,43763.7,11.51,251.93
SUZLON,EQ,41,4.19,55775.83,621.15,251.88
ABB,EQ,6521,3.63,138185.45,3.85,248.62
LLOYDSENGG,EQ,65.15,19.98,7454.82,399.28,245.32
BANKBARODA,EQ,261.85,1.91,135412.12,94.19,244.77
LODHA,EQ,1199.9,2.47,119324.8,20.26,242.28
HAVELLS,EQ,1550,3.22,97135.87,15.68,241.76
TITAN,EQ,3604,1.15,319958.13,6.69,239.88
BANDHANBNK,EQ,181.05,4.32,29166.61,133.93,239.51
TVSMOTOR,EQ,1941.15,2.22,92221.54,12.22,234.66
BIOCON,EQ,271.65,3.82,32614.3,86.02,231.19
DLF,EQ,867.4,1.37,214708.83,26.62,229.85
LIQUIDBEES,EQ,1000,0,11794.65,22.87,228.69
RVNL,EQ,264.45,2.32,55138.36,85.31,224.51
MFSL,EQ,1057,3.47,36478.63,21.12,222.72
PRESTIGE,EQ,1250,1.54,50107.71,17.69,221.84
ASHOKLEY,EQ,173.05,2.18,50813.14,128.31,221.04
VBL,EQ,1433,2.64,186204.55,15.35,218.41
POLYCAB,EQ,5432,2.68,81614.66,3.97,214.84
LUPIN,EQ,1608.7,3.95,73306.9,13.01,207.92
TATACHEM,EQ,1113,0.84,28354.37,18.54,205.69
MAXHEALTH,EQ,760.5,-1.6,73913.94,27.01,205.35
ABFRL,EQ,241.7,4.38,24531.88,85.35,203.74
DATAPATTNS,EQ,2900,3.75,16235.35,6.95,202.44
ANGELONE,EQ,2813,4.65,25288.94,7.28,201.58
DRREDDY,EQ,6013,1.18,100303.13,3.33,201.03
INDHOTEL,EQ,586.45,-1.78,83477.18,34.14,200.49
SJVN,EQ,128.6,3.54,50537.17,156.47,200.07
PETRONET,EQ,298.7,-0.48,44805,66.63,198.87
CROMPTON,EQ,307.65,3.57,19785.19,65.05,198.25
ASIANPAINT,EQ,2843.35,1.24,272733.5,6.76,191.65
POONAWALLA,EQ,494,-0.96,38262.8,37.55,188.31
JKCEMENT,EQ,4086.1,-1.58,31572.58,4.6,186.48
FEDERALBNK,EQ,153.85,1.32,37460.48,121.53,186.41
HDFCLIFE,EQ,605,0.57,130132.12,30.77,186.02
COCHINSHIP,EQ,1105.45,0.59,29082.26,15.98,176.6
APOLLOTYRE,EQ,480.5,1.5,30516.6,35.89,174.71
COFORGE,EQ,5110.05,-0.16,31586.54,3.33,170.46
IRMENERGY,EQ,603,7.87,2475.9,27.72,169.37
GSFC,EQ,240.5,8.02,9583.38,71.8,169.09
SHRIRAMFIN,EQ,2426.7,2.54,91193.64,6.98,168.59
ZYDUSLIFE,EQ,959.65,4.07,96563.24,17.39,165.52
TECHM,EQ,1210.25,1.39,118212.2,13.64,164.7
MAHABANK,EQ,64.45,4.63,45639.27,258.36,163.93
DIVISLAB,EQ,3725.25,1.46,98893.68,4.4,163.34
JINDALSTEL,EQ,918.25,-0.97,93669.59,17.54,162.23
RBLBANK,EQ,258.5,1.71,15656.83,62.18,160.73
BSE,EQ,2855,3.12,38649.95,5.57,158.65
PATANJALI,EQ,1463.3,4.34,52970.71,10.97,158.54
ELECON,EQ,1170,0.32,13127.4,13.3,158
PREMEXPLN,EQ,2502.8,20,2691.07,6.58,156.92
STLTECH,EQ,128.95,2.06,6287.25,122.1,156.56
KPITTECH,EQ,1389.25,-1.42,38085.43,11.05,154.12
MARICO,EQ,506.4,0.22,65533.32,30.16,153.68
BRITANNIA,EQ,4758,1.92,114605.14,3.22,152.37
PHOENIXLTD,EQ,3120,-0.06,55753.53,4.78,151.65
NAUKRI,EQ,5809,1.7,75159.24,2.59,150.21
OIL,EQ,597.8,-0.34,64825.74,24.87,149.81
BSOFT,EQ,662,-2.89,18267.06,22.34,149.48
RKFORGE,EQ,745,-3.57,13467.83,19.93,149.07
ESCORTS,EQ,3162.7,1.8,34947.29,4.7,148.82
BLUESTARCO,EQ,1460.5,2.67,30030.04,10.15,147.22
IRCTC,EQ,1002,1.01,80160,14.66,146.79
HEG,EQ,2491.85,1.3,9617.42,5.86,145.94
NMDC,EQ,238.05,1.02,69763.07,59.53,141.8
IBREALEST,EQ,135,2.7,7312.62,104.71,140.51
MOTILALOFS,EQ,2344,5.02,20233.04,6.01,139.24
PTC,EQ,226,2.75,6689.79,60.41,138.97
POLICYBZR,EQ,1204.05,0.55,54327.15,11.47,137.9
ACC,EQ,2404.5,-0.03,45153.45,5.72,137.4
RAILTEL,EQ,380,4.25,12195.66,36.12,137.37
AUROPHARMA,EQ,1084.5,-0.23,63545.04,12.68,137.19
GRAPHITE,EQ,676,0.37,13207.39,20.09,137.02
JSWSTEEL,EQ,856.35,-0.98,209416.45,15.85,136.26
MPHASIS,EQ,2238.7,-1.82,42311.54,6.04,136.05
UJJIVAN,EQ,570.9,3.53,6952.69,23.46,133.9
IBULHSGFIN,EQ,171.8,4.22,8460.34,77.4,132.55
CIPLA,EQ,1359,0.98,109721.18,9.74,132.1
HINDZINC,EQ,409,2.58,172815.55,32.12,131.99
TDPOWERSYS,EQ,326,12.05,5091.15,40.9,131.4
BANKINDIA,EQ,141.6,4.31,64465.78,93.56,131.06
HIKAL,EQ,320,7.18,3945.62,40.58,130.74
GODREJPROP,EQ,2512,0.44,69844.02,5.15,128.9
LICI,EQ,976.9,0.37,617889.03,13.11,128.11
IGL,EQ,438.25,0.47,30677.54,29.14,127.07
CHOLAFIN,EQ,1143.9,1.4,96086.88,11.11,126.44
LTIM,EQ,4690,0.63,138900.62,2.7,126.03
MOIL,EQ,345.6,5.16,7032.45,36.53,125.8
NSLNISP,EQ,63.85,2.08,18711.92,196.55,125.72
PEL,EQ,835.8,0.08,18777.39,14.95,125.56
BDL,EQ,1844.9,0.64,33813.56,6.73,124.62
SOLARINDS,EQ,8534.1,0.08,77225.12,1.44,123.84
ELECTCAST,EQ,202,2.67,12011.03,60.46,122.94
APOLLOHOSP,EQ,6237,1.09,89678.49,1.97,122.42
DMART,EQ,4763,1.43,309944.16,2.58,122.03
VENUSPIPES,EQ,2080,6.57,4221.59,5.67,120.26
CENTURYTEX,EQ,1870,1.11,20887.09,6.32,119.81
SOUTHBANK,EQ,29,5.84,7586.19,415.39,118.3
JSL,EQ,711,2.66,58546.2,16.38,116.46
MANAPPURAM,EQ,191.5,1.78,16209.23,61.2,115.96
HFCL,EQ,94.9,3.38,13653.95,122.63,115.49
BAJAJFINSV,EQ,1630.9,0.74,260208.27,7.03,114.52
CUMMINSIND,EQ,3140,3.35,87040.8,3.66,113.97
KRYSTAL,EQ,777.9,-2.51,1086.88,14.61,113.95
SBILIFE,EQ,1477.05,2.04,147921.46,7.72,113.9
TATAMTRDVR,EQ,647.8,1.66,32940.82,17.13,110.33
OLECTRA,EQ,1798.5,2.52,14762.22,6.09,108.75
CAMS,EQ,3239,2.77,15917.46,3.37,108.69
FLUOROCHEM,EQ,3708.3,3.06,40735.68,2.93,108.64
GMRINFRA,EQ,81.2,0.68,49011.88,132.44,107.29
THERMAX,EQ,4588.05,-4.65,54669.51,2.26,106.64
RIIL,EQ,1315,4.14,1985.65,8.01,106.33
CGPOWER,EQ,532.95,-0.18,81399.22,19.92,106.24
CONCOR,EQ,945,1.96,57578.32,11.24,105.86
FORTIS,EQ,443,2.98,33444.65,23.67,104.63
EXICOM,EQ,279.3,-4.28,3374.63,38.04,104.6
HUDCO,EQ,195.95,0.54,39227.23,52.88,104.04
RAYMOND,EQ,2055,2.14,13680.9,5.05,103.67
IRCON,EQ,223.35,2.78,21006.42,46.18,102.52
MANKIND,EQ,2346.05,0.37,93980.05,4.37,102.39
GRASIM,EQ,2280,0.3,150133.26,4.46,101.58
JWL,EQ,396.8,7.13,16359.81,25.23,98.88
SKIPPER,EQ,353,12.3,3986.68,28.84,98.75
AMBUJACEM,EQ,618.75,1.49,122861.8,15.67,96.74
BERGEPAINT,EQ,508.25,0.73,59251.58,19.09,96.7
BOSCHLTD,EQ,29228.15,-1.88,86204.45,0.33,96.37
BFUTILITIE,EQ,817.2,9.1,3078.2,11.69,95.47
TITAGARH,EQ,992.5,2.07,13366.37,9.53,94.74
M&MFIN,EQ,279.75,-1.2,34563.95,33.26,93.86
GMRP&UI,EQ,60.05,4.98,3624.59,156.44,93.75
GUJGASLTD,EQ,544,-0.41,37448.42,17.19,93.7
APARINDS,EQ,7390,4.39,29684.38,1.27,92.8
UPL,EQ,493,1.12,37004.96,18.61,91.48
BHARATFORG,EQ,1204.95,0.99,56092.64,7.58,91.45
WHIRLPOOL,EQ,1527.35,5.93,19377.77,6.05,91.4
DBREALTY,EQ,215.25,4.41,11575.92,43.04,91.32
ICICIGI,EQ,1686,-0.22,83066.74,5.4,91.26
ACE,EQ,1509,6.64,17969.65,6.06,90.9
PAGEIND,EQ,35500,0.31,39596.25,0.25,90.76
TATAELXSI,EQ,7430,-0.28,46240.23,1.21,90.39
JUBLFOOD,EQ,440,1,29033.19,20.61,90.11
KMSUGAR,EQ,44.5,4.83,409.4,198.59,89.72
BBTC,EQ,1571.8,4.95,10966.75,5.64,89.47
ALKEM,EQ,4747,2.83,56757.51,1.88,88.79
CESC,EQ,144,2.16,19088.21,61.55,88.77
SENCO,EQ,983,2.93,7638.32,9.02,88.55
TIINDIA,EQ,3540,1.25,68464.38,2.52,88.46
INFIBEAM,EQ,34.85,3.87,9695.28,256.4,87.71
IOB,EQ,63.75,4.08,120502.88,138.84,87.29
ZEEL,EQ,142.2,-0.46,13658.59,61.09,87.19
CENTRALBK,EQ,64.65,4.11,56122.27,134.44,85.95
KEC,EQ,736,5.62,18921.7,11.71,85.3
BALRAMCHIN,EQ,376.85,3.06,7602.92,22.6,84.67
ABCAPITAL,EQ,203,1.05,52790.94,41.41,83.87
BAJEL,EQ,284.65,9.99,3281.55,30.17,83.33
CELLO,EQ,885,3.77,18782.45,9.5,83.2
GODREJCP,EQ,1187.95,1.63,121505.94,7.01,82.86
NAVINFLUOR,EQ,3278,1.72,16244.51,2.53,82.61
TECHNOE,EQ,968,4.92,10417.52,8.58,82.6
ASAL,EQ,875,14.53,1388.13,9.65,82.42
PIIND,EQ,3710,0.02,56287.42,2.21,82.36
INOXWIND,EQ,596,4.74,19426.53,14,81.95
IRB,EQ,67.2,1.59,40582.08,121.81,81.48
INDIACEM,EQ,220.05,-1.81,6819.29,36.1,80.2
SBICARD,EQ,738.95,0.94,70271.82,10.66,78.84
MRF,EQ,129125,-0.03,54763.76,0.06,78.75
NBCC,EQ,125.2,0.89,22536,61.68,77.34
SRF,EQ,2567.55,1.52,76108.56,3.01,77.15
RELINFRA,EQ,195,3.31,7724.56,39.31,77.07
ADANIPOWER,EQ,596.65,0.35,230124.26,12.65,75.9
GPIL,EQ,880,1.14,11963.16,8.5,75.74
SONACOMS,EQ,661.05,-2.97,38767.13,11.25,75.19
IEX,EQ,148.95,0.88,13281.76,50.02,74.25
TATATECH,EQ,1053.9,1.27,42753.41,6.94,72.94
ISEC,EQ,724,1.88,23411.03,10.12,72.89
HCC,EQ,37.7,6.8,6332.45,195.05,72.72
CYIENT,EQ,1949.45,-1.12,21617.41,3.67,72.58
TORNTPHARM,EQ,2589.7,1.98,87643.28,2.78,72.23
DHANI,EQ,51.05,-1.45,3079.51,137.54,71.11
NCC,EQ,242.8,0.12,15244.12,29.2,71.07
MGL,EQ,1387.5,-0.28,13705.42,5.1,70.57
ADANIENSOL,EQ,1047.05,0.62,116797.66,6.68,70.56
PVRINOX,EQ,1433.3,0.33,14065.61,4.87,70.03
BATAINDIA,EQ,1345.95,1.94,17299.16,5.21,69.73
CAPACITE,EQ,311.55,3.3,2635.84,22.02,68.64
EASEMYTRIP,EQ,45,2.74,7974.18,152.02,68.21
CHOICEIN,EQ,326,3.67,6499.76,20.91,68.1
TORNTPOWER,EQ,1477,-1.61,70987.1,4.56,68.08
INOXINDIA,EQ,1358,1.67,12325.68,5.02,67.98
LALPATHLAB,EQ,2271,2.8,18957.82,2.99,67.34
NIFTYBEES,EQ,247.85,0.94,24253.77,27.27,67.3
EPIGRAL,EQ,1400,6.08,5817.02,4.87,66.46
COLPAL,EQ,2659,0.35,72320.98,2.49,66.25
PIDILITIND,EQ,2904.15,2.59,147707.78,2.28,65.57
ASTRAL,EQ,1961.45,0.92,52689.84,3.33,65.34
SUNDARMFIN,EQ,4523.5,-1.67,50257.83,1.4,64.75
IIFL,EQ,418,2.93,15948.72,15.15,63.65
KPIGREEN,EQ,1822,5,10983.49,3.51,63.45
KSCL,EQ,781.15,3.22,4018.16,8.09,63.29
SYNGENE,EQ,707.05,-0.96,28424.47,8.84,63.19
PATELENG,EQ,62.75,6.36,4854.45,101.44,63.17
UCOBANK,EQ,55.4,3.55,66236.01,115.36,63.13
OBEROIRLTY,EQ,1427.85,2.38,51916.95,4.44,63.12
NATCOPHARM,EQ,1009,0.96,18072.19,6.25,62.96
SILVERBEES,EQ,80.38,-1.43,2050.12,78.32,62.9
SHREECEM,EQ,24400,0.13,88037.03,0.26,62.76
NAM-INDIA,EQ,577.95,2.99,36437.34,10.89,62.35
ADANIGREEN,EQ,1796.7,1.51,284603.12,3.47,62.22
CUB,EQ,156.8,1.55,11613.74,39.68,62.06
CHENNPETRO,EQ,938.55,-0.4,13976.08,6.5,61.64
MAHLIFE,EQ,661.1,5.76,10247.71,9.37,61.29
KEI,EQ,3826.9,1.8,34534.5,1.61,61.19
DABUR,EQ,506.25,0.41,89709.48,12.08,61.14
EDELWEISS,EQ,78.65,3.9,7422.87,77.53,60.4
SOTL,EQ,591.75,-0.08,4089.02,9.99,59.8
SIGNATURE,EQ,1230,-1.56,17282.81,4.73,59.56
COROMANDEL,EQ,1094,-2.45,32212.06,5.33,58.78
DELHIVERY,EQ,450.55,-0.61,33201.54,13.02,58.77
SWANENERGY,EQ,619.95,0.6,19432.76,9.31,58.12
GESHIP,EQ,1027,1.79,14662.19,5.52,57.07
RAIN,EQ,179.55,3.7,6039.09,31.84,56.96
AIRTELPP,E1,915.1,1.73,35898.24,6.26,56.94
DEEPAKNTR,EQ,2300,1.24,31370.4,2.45,56.25
ENGINERSIN,EQ,209.5,2.32,11774.79,26.82,56.08
JPASSOCIAT,EQ,20.15,-3.36,4944.33,274.05,55.66
KALYANKJIL,EQ,403,-1.36,41511.14,13.72,55.56
KICL,EQ,4490,15,1960.02,1.21,55.38
HINDMOTORS,EQ,28.4,19.83,592.59,204.98,55.26
ANANTRAJ,EQ,352,3.42,12034.55,15.71,55.04
CASTROLIND,EQ,208.1,0.26,20575.76,26.27,54.94
UTIAMC,EQ,931.45,3.45,11853.35,5.83,54.58
GNFC,EQ,684,0.24,10050.74,7.96,54.12
NFL,EQ,102.7,5.71,5038.24,52.94,53.85
AEGISCHEM,EQ,510,3.39,17901,10.67,53.78
LINDEINDIA,EQ,7268,-1.42,61984.57,0.73,53.73
NLCINDIA,EQ,226.4,1.12,31393.45,23.08,52.55
BFINVEST,EQ,584.7,12.27,2202.43,8.87,52.28
SUNTV,EQ,610,2.13,24039.16,8.58,52.25
LAURUSLABS,EQ,432.05,1.3,23286.02,12.01,51.78
RCF,EQ,144.75,4.55,7985.69,36.1,51.75
RATEGAIN,EQ,706.1,7.11,8321.29,7.46,51.61
LTTS,EQ,5202.2,-0.57,55015.26,0.99,51.53
JSWINFRA,EQ,241.75,1.07,50767.54,21.16,51.52
IFBIND,EQ,1585,3.86,6422.23,3.22,50.81
JAMNAAUTO,EQ,129.8,0.04,5178.26,38.57,50.5
TRUST,SM,249,6.87,593.25,20.15,50.48
GOLDBEES,EQ,61.74,-0.8,10814.42,81.8,50.46
WELCORP,EQ,551,4.22,14417.85,9.16,50.41
MARKSANS,EQ,168.9,-3.1,7653.94,29.63,50.34
UTKARSHBNK,EQ,56.7,3.18,6233.92,88.74,50.08
RITES,EQ,665,3.04,15980.08,7.55,49.72
MRPL,EQ,223.9,-1.37,39240.69,21.97,49.58
KIRLOSENG,EQ,939.5,6.13,13618.6,5.41,49.54
INDIAMART,EQ,2595.15,2.73,15565.49,1.91,49.33
L&TFH,EQ,164.95,2.49,41055.07,30.11,49.08
NYKAA,EQ,168,-0.12,47984.22,28.9,48.46
MOREPENLAB,EQ,51.9,5.81,2652.97,93.87,48.08
AARTIIND,EQ,722,-0.18,26172.79,6.62,47.94
IDFC,EQ,123.8,0.77,19807.81,38.61,47.81
GPPL,EQ,203.5,-0.63,9838,23.35,47.77
ATGL,EQ,918.5,0.67,101017.56,5.17,47.67
BLS,EQ,335.55,3.93,13815.97,14.19,46.99
METROPOLIS,EQ,1802,3.58,9231.08,2.64,46.65
ICICIPRULI,EQ,579.4,-1.49,83476.5,7.97,46.45
ZENTEC,EQ,1024,4.09,8606.13,4.5,46.17
BAJAJHIND,EQ,31.95,4.41,4081.17,142.29,45.42
INDIANB,EQ,521.45,1.82,70237.44,8.54,44.51
IDBI,EQ,86.25,2.68,92739.47,50.49,43.29
LIQUIDIETF,EQ,1000,0,3222.63,4.3,43
THOMASCOOK,EQ,200.6,2.11,9435.83,21.15,42.94
PENIND,EQ,140,8.61,1889.25,30.72,42.44
BEPL,EQ,103.8,-0.14,2583.15,39.98,42.37
TRIDENT,EQ,39.3,1.81,20027.11,107.85,42.11
UJJIVANSFB,EQ,53.15,0.38,10412.78,78.97,42.03
GMDCLTD,EQ,388,0.01,12338.4,10.7,41.97
VESUVIUS,EQ,3730,3.81,7570.44,1.12,41.96
JYOTICNC,EQ,775.7,4.99,17641.21,5.54,41.89
STARHEALTH,EQ,575,1.59,33653.79,7.05,40.81
GLAXO,EQ,1946.05,4,32967.26,2.1,40.74
KABRAEXTRU,EQ,368.4,14.25,1288.4,11.18,40.73
HAPPYFORGE,EQ,951.9,3.41,8967.36,4.24,40.53
BBL,EQ,6834,1.07,3862.28,0.59,40.53
JUBLPHARMA,EQ,684,2.86,10894.83,5.91,40.49
SUPREMEIND,EQ,4189.75,3,53221.08,0.97,40.46
360ONE,EQ,770.05,-2.6,27634.22,5.08,39.97
RAMASTEEL,EQ,12.7,3.67,1878.85,314.08,39.79
INDRAMEDCO,EQ,243.4,4.62,2231.32,15.92,39.6
POWERMECH,EQ,5270,4.95,8330.89,0.74,38.98
HEMIPROP,EQ,212.1,8.41,6044.85,18.47,38.42
JBCHEPHARM,EQ,1785.1,0.31,27703.82,2.13,38.08
J&KBANK,EQ,131.4,2.58,14469.54,28.94,37.86
DSSL,EQ,1367.1,-5.13,1738.01,2.73,37.81
HUHTAMAKI,EQ,343.5,4.19,2594.18,10.65,37.16
RENUKA,EQ,44,3.17,9365.36,83.84,36.82
BEML,EQ,3473.9,0.98,14466.88,1.05,36.61
REPCOHOME,EQ,513.9,2.63,3215.03,7.1,36.6
DEVYANI,EQ,163.05,1.24,19661.53,22.53,36.47
IPCALAB,EQ,1324.35,-1.02,33599.32,2.7,36.13
USHAMART,EQ,367,1.41,11184.02,9.77,36.09
MSUMI,EQ,69.6,-0.78,30770.91,51.41,35.91
RPOWER,BE,28.2,0.53,10747.54,126.82,35.52
GRSE,EQ,868.85,-0.18,9952.85,4.04,35.2
PAYTM,EQ,377.2,-0.17,23978.8,9.22,35.01
TIMETECHNO,EQ,267,0.89,6059.01,12.91,34.84
JUBLINGREA,EQ,540,0.4,8601.18,6.39,34.81
POWERINDIA,EQ,8081,-2.04,34248.63,0.42,34.43
RAMCOCEM,EQ,797.1,-0.38,18834.87,4.3,34.38
SHRIRAMPPS,EQ,120.8,0.62,2057.54,28.54,34.21
COFFEEDAY,EQ,64.45,-0.08,1361.52,52.71,34.05
RALLIS,EQ,281.7,0.46,5478.19,11.77,33.45
SAPPHIRE,EQ,1474,-0.32,9390.03,2.26,33.45
SOBHA,EQ,1617,2.45,15336.57,2.04,33.39
ABBOTINDIA,EQ,26299.5,0.66,35965.2,0.13,33.38
PSPPROJECT,EQ,690,1.52,2484,4.76,33.19
KARURVYSYA,EQ,194.75,2.66,15662.28,17.13,33.01
RHIM,EQ,661,2.98,13649.74,5.05,32.95
ZENSARTECH,EQ,573,-0.43,12986.08,5.68,32.79
BRIGADE,EQ,981,-3.41,22670.78,3.3,32.67
TIMKEN,EQ,3031,-0.4,22798.8,1.05,32.63
JKTYRE,EQ,412.75,2.36,10761.37,7.76,32.33
TFCILTD,EQ,183.95,4.99,1662.4,17.71,32.3
AMBER,EQ,3660,0.38,12331.91,0.88,32.27
FACT,EQ,664.5,3.54,42997.93,4.87,32.26
ATUL,EQ,5895,-0.1,17355.91,0.54,31.82
DALBHARAT,EQ,1960.05,0.85,36760.27,1.62,31.75
GENUSPOWER,EQ,312,3.43,9477.14,10.22,31.53
JINDALSAW,EQ,491,2.2,15699.93,6.42,31.35
TANLA,EQ,923.9,-0.92,12422.75,3.36,31.23
BCG,EQ,14.9,-0.33,3006.7,210.63,31.21
UNIVCABLES,EQ,573.6,7.26,1990.13,5.33,31
EPACK,EQ,194,7.96,1858.49,16.2,30.73
HBLPOWER,EQ,454,0.71,12584.65,6.69,30.67
TPLPLASTEH,EQ,100.4,12.62,783.15,30.48,30.63
NH,EQ,1250.4,0.64,25553.27,2.43,30.43
VIPIND,EQ,538.5,4.78,7644.39,5.7,30.31
KAYNES,EQ,2593.8,-1.44,16579.07,1.15,30.3
BANKBEES,EQ,489.15,0.9,6327.61,6.12,29.88
EIHOTEL,EQ,474,4.55,29642.26,6.37,29.84
SAREGAMA,EQ,429,-0.06,8271.53,6.96,29.83
LIQUIDETF,EQ,1000,0,1302.03,2.97,29.74
FSL,EQ,201.85,2.38,14068.76,14.87,29.65
MUTHOOTFIN,EQ,1646,-0.35,66080.59,1.78,29.35
CRISIL,EQ,4285,-1.37,31330.94,0.67,29.23
BAJAJHLDNG,EQ,7960,1.59,88589.63,0.37,29.2
EMBASSY,RR,359.76,-1.43,34101.43,8.04,29.07
AJANTPHARM,EQ,2091,0.27,26328.96,1.38,28.99
SANGHVIMOV,EQ,1353.1,2.04,5857.3,2.12,28.93
ADFFOODS,EQ,223.05,3.5,2450.51,13.04,28.68
